0,0,0.344167,0.363625,0,0
0,0,0.363478,0.353739,0,0
0,1,0.196364,0.189405,1,0
0,1,0.2,0.212122,1,0
0,1,0.226957,0.22927,1,0
0,1,0.204348,0.233209,1,0
0,1,0.196522,0.208839,0,0
0,0,0.165,0.162254,0,0
0,0,0.138333,0.116175,1,0
0,1,0.150833,0.150888,1,0
0,1,0.169091,0.191464,0,0
0,1,0.172727,0.160473,1,0
0,1,0.165,0.150883,1,0
0,1,0.16087,0.188413,1,0
0,0,0.233333,0.248112,0,0
0,0,0.231667,0.234217,1,0
1,0,0.175833,0.176771,0,0
0,1,0.216667,0.232333,0,0
0,1,0.292174,0.298422,0,0
0,1,0.261667,0.25505,0,0
0,1,0.1775,0.157833,1,0
0,0,0.0591304,0.0790696,1,0
0,0,0.0965217,0.0988391,1,0
0,1,0.0973913,0.11793,1,0
0,1,0.223478,0.234526,0,0
0,1,0.2175,0.2036,0,1
0,1,0.195,0.2197,1,0
0,1,0.203478,0.223317,0,0
0,0,0.196522,0.212126,1,0
0,0,0.216522,0.250322,1,0
0,1,0.180833,0.18625,0,0
0,1,0.192174,0.23453,0,0
0,1,0.26,0.254417,0,0
0,1,0.186957,0.177878,1,0
0,1,0.211304,0.228587,0,0
0,0,0.233333,0.243058,0,0
0,0,0.285833,0.291671,1,0
0,1,0.271667,0.303658,1,0
0,1,0.220833,0.198246,1,0
0,1,0.134783,0.144283,0,0
0,1,0.144348,0.149548,1,0
0,1,0.189091,0.213509,1,0
0,0,0.2225,0.232954,1,0
0,0,0.316522,0.324113,1,0
0,1,0.415,0.39835,1,0
0,1,0.266087,0.254274,1,0
0,1,0.318261,0.3162,1,0
0,1,0.435833,0.428658,1,0
0,1,0.521667,0.511983,1,0
0,0,0.399167,0.391404,1,0
0,0,0.285217,0.27733,1,0
1,0,0.303333,0.284075,0,0
0,1,0.182222,0.186033,1,0
0,1,0.221739,0.245717,1,0
0,1,0.295652,0.289191,0,0
0,1,0.364348,0.350461,0,0
0,0,0.2825,0.282192,1,0
0,0,0.343478,0.351109,1,0
0,1,0.407273,0.400118,0,0
0,1,0.266667,0.263879,1,0
0,1,0.335,0.320071,1,0
0,1,0.198333,0.200133,1,0
0,1,0.261667,0.255679,0,0
0,0,0.384167,0.378779,0,0
0,0,0.376522,0.366252,0,0
0,1,0.261739,0.238461,1,0
0,1,0.2925,0.3024,1,0
0,1,0.295833,0.286608,0,0
0,1,0.389091,0.385668,0,1
0,1,0.316522,0.305,0,0
0,0,0.329167,0.32575,1,0
0,0,0.384348,0.380091,1,0
0,1,0.325217,0.332,1,0
0,1,0.317391,0.318178,0,0
0,1,0.365217,0.36693,0,0
0,1,0.415,0.410333,1,0
0,1,0.54,0.527009,1,0
0,0,0.4725,0.466525,1,0
