"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
5,68.1211570177124,120.040536472548,137.430570901593,143.138498727886,148.527108035178,153.761181224088,159.086147992435,164.439298365924,169.763411234544,175.084263607772,180.413631446499,185.742675682951,191.069722394873,196.396932130487,201.724600587848,207.052204865698,212.379706713738,217.707231244748,223.03477773049,228.36231667726,233.689851217627,239.017388128455,244.344925812337,249.672462944821,255
5,55.1,128.36,136.688888888889,142.066666666667,147.444444444444,152.822222222222,158.2,163.577777777778,168.955555555556,174.333333333333,179.711111111111,185.088888888889,190.466666666667,195.844444444444,201.222222222222,206.6,211.977777777778,217.355555555556,222.733333333333,228.111111111111,233.488888888889,238.866666666667,244.244444444444,249.622222222222,255
5,66.35,127.281481481481,136.525925925926,141.911111111111,147.296296296296,152.681481481481,158.066666666667,163.451851851852,168.837037037037,174.222222222222,179.607407407407,184.992592592593,190.377777777778,195.762962962963,201.148148148148,206.533333333333,211.918518518519,217.303703703704,222.688888888889,228.074074074074,233.459259259259,238.844444444444,244.22962962963,249.614814814815,255
5,39.24,127.228571428571,136.362962962963,141.755555555556,147.148148148148,152.540740740741,157.933333333333,163.325925925926,168.718518518519,174.111111111111,179.503703703704,184.896296296296,190.288888888889,195.681481481481,201.074074074074,206.466666666667,211.859259259259,217.251851851852,222.644444444444,228.037037037037,233.42962962963,238.822222222222,244.214814814815,249.607407407407,255
5,53.5829978884448,128.437716082569,136.97710577114,142.657541664434,148.094835154535,153.361501089703,158.700390316988,164.071895954878,169.419826809263,174.762833541559,180.113109190109,185.463545653556,190.812118649269,196.160810249907,201.509929787934,206.85899842635,212.207971508819,217.556963348165,222.905975668884,228.254981599865,233.603983420151,238.952987282529,244.301991866083,249.6509959691,255
5,45.9522019014488,127.763570300113,137.286890847482,142.98242398214,148.387250426258,153.632607135294,158.961871424278,164.320722019561,169.652598607063,174.980559698207,180.316732555133,185.652664960339,190.986656995977,196.320795661797,201.655379924595,206.989904987915,212.324330552076,217.658777307997,222.993245390489,228.327706375099,233.662163079379,238.996622026986,244.331081725528,249.665540900311,255
5,57.7,127.557142857143,136.525925925926,141.911111111111,147.296296296296,152.681481481481,158.066666666667,163.451851851852,168.837037037037,174.222222222222,179.607407407407,184.992592592593,190.377777777778,195.762962962963,201.148148148148,206.533333333333,211.918518518519,217.303703703704,222.688888888889,228.074074074074,233.459259259259,238.844444444444,244.22962962963,249.614814814815,255
5,62.4776134705087,127.017674323389,136.948733762403,142.65869448915,148.103066478432,153.362847188764,158.700809079797,164.074102929657,169.42182666552,174.764226996521,180.114506542988,185.464957645751,190.813389777087,196.161950573782,201.510975014437,206.859944263669,212.208809983703,217.557696037613,222.906604281871,228.255505600034,233.604402464503,238.953301542299,244.302201401444,249.65110073979,255
5,48.2420639003595,125.793409787902,136.578887769402,142.3277436826,147.819764604623,153.088705172401,158.434469458626,163.823964616738,169.187785550131,174.544440449357,179.909110537231,185.27440539674,190.637470402212,196.000652848336,201.364347358613,206.727987521815,212.09151334341,217.455059851955,222.818630868345,228.182194709104,233.545753631038,238.909314872765,244.272876977444,249.63643853187,255
5,35.5476241343606,127.352188371854,136.137945168411,141.83782758662,147.36305233073,152.670640828867,158.034184483677,163.441492282568,168.829521329072,174.209743764752,179.596134973551,184.983588262377,190.369108052468,195.754694730807,201.140728138167,206.526722082618,211.912616274694,217.298526384452,222.684457875011,228.070383675452,233.456305184676,238.842228567718,244.228152703606,249.614076389445,255
